key,smiles,HOMO_exp,LUMO_exp,HOMO_calc,LUMO_calc
M8,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC7=C(C=C6C5(C8=CC=C(C)C=C8)C9=CC=C(C)C=C9)C%10=C(C(SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C%13)=C%13S%10)C7(C%14=CC=C(C)C=C%14)C%15=CC=C(C)C=C%15,-5.48,-3.83,-5.669585461,-3.620393
M9,CN1C(C(C=C2)=C3C4=C2C5=C(C4=CC=C3C1=O)C6=C(C7=CC=C8C9=C(C(N(C)C8=O)=O)C=CC6=C79)C%10=C5C%11=C%12C%10=CC=C(C(N(C)C%13=O)=O)C%12=C%13C=C%11)=O,-5.81,-3.61,-6.539016072,-3.674835
M11,COC1=CC(C2=C/3C=CC(OC)=C2)=C(C=C1)C3=C4C5=C(C=C(C=CC=C6)C6=C5)C7=C/4C=C(C=CC=C8)C8=C7,-5.18,-3.24,-5.034004901,-2.638556901
M12,O=C(C1=C2C(C3=CC(NC)=C24)=C(C(N(CC5=CC=CS5)C3=O)=O)C(NC)=C1)N(CC6=CC=CS6)C4=O,-5.69,-3.71,-5.418382505,-3.085510374
M13,O=C(C1=C2C(C3=CC(C4=CC=C(C)S4)=C25)=C(C(N(C)C3=O)=O)C(C6=CC=C(C)S6)=C1)N(C)C5=O,-5.53,-4.05,-5.899854901,-3.457067
M14,O=C(C1=C2C(C3=C(OC)C=C24)=C(C(N(C)C3=O)=O)C=C1C5=CC=C(C6=CC7=C8C(C9=CC(OC)=C8C(N(C)C7=O)=O)=C6C(N(C)C9=O)=O)S5)N(C)C4=O,-5.88,-3.8,-6.053307094,-3.587000067
M15,O=C(C1=C2C(C3=C(OC)C=C24)=C(C(N(C)C3=O)=O)C=C1C5=CC6=C(C7=CC=C(C)S7)C8=C(C=C(C9=CC%10=C%11C(C%12=CC(OC)=C%11C(N(C)C%10=O)=O)=C9C(N(C)C%12=O)=O)S8)C(C%13=CC=C(C)S%13)=C6S5)N(C)C4=O,-5.46,-3.78,-5.257498639,-3.517620072
M16,O=C(C1=C2C(C3=CC=C24)=C(C(N(C)C3=O)=O)C(/C=C/C5=CC6=C7C(C8=CC=C7C(N(C)C6=O)=O)=C5C(N(C)C8=O)=O)=C1)N(C)C4=O,-6.74,-4.35,-6.72895406,-3.93452555
M30,O=C(/C(C(N1C)=O)=C\C2=CC=C(C3=CC=C(/C=C4C(N(C)C(N(C)C/4=O)=O)=O)S3)S2)N(C)C1=O,-6.28,-4.23,-6.179167,-3.184857
M32,CC(S1)=CC=C1C2=CC(C3=C(/C(C4=C5C=C(C6=CC=C(C)S6)C=C4)=C(C#N)/C(OC)=O)C5=C(/C(C7=C8C=C(C9=CC=C(C)S9)C=C7)=C(C(OC)=O)\C#N)C8=C3/%10)=C(C=C2)C%10=C(C#N)/C(OC)=O,-6.4,-4.1,-6.179167,-3.184857
c1,O=C(C(C=C1)=C2C3=C1C(C=C4)=C5C(C(C6=O)=CC=C5C3=CC=C2C7=O)=C4C(N6C)=O)N7C,-5.8,-3.8,-6.206,-3.7565
c3,O=C(C(C=C1)=C2C3=C1C(C=C4)=C5C(C(C6=O)=CC=C5C3=CC=C2C7=O)=C4C(N6N(C(C8=CC=C(C9=CC=C(C(N%10C)=O)C%11=C(C%10=O)C=CC%12=C9%11)C%13=C%12C=CC%14=C8%13)=O)C%14=O)=O)N7C,-5.9,-4.1,-6.231,-3.8095
c5,O=C(C(C=C1OC)=C2C3=C1C(C(OC)=C4)=C5C(C(C6=O)=CC(C(S7)=CC=C7C8=C(C9=C%10C(OC)=CC(C%11=O)=C9C(C(N%11C)=O)=C8)C%12=CC=C(C(C%12=C%10C(OC)=C%13)=C%13C(N%14C)=O)C%14=O)=C5C3=CC=C2C%15=O)=C4C(N6C)=O)N%15C,-5.65,-3.84,-5.7617,-3.6931
c8,O=C(N1C)C2=C3C4=C(C5=C6C(C(C7=O)=CC(C8=CC9=C(C=C8)C%10=C(C=C(C(C=C(C%11=O)C%12=C(C(N%11C)=O)C=CC%13=C%12%14)=C%14C%15=CC=C(C(N%16C)=O)C%17=C(C%16=O)C=CC%13=C%15%17)C=C%10)C%189C%19=C(C=CC=C%19)C%20=C%18C=CC=C%20)=C6C4=CC=C3C1=O)=C(C(N7C)=O)C=C5)C=C2,-5.71,-3.71,-5.9508,-3.7279
c13,O=C(N1C)C2=C(C3=CC=C(C4=CC=C(C5=CC=C(C)S5)S4)S3)C=C(C6=O)C7=C(C(N6C)=O)C(C8=CC=C(C9=CC=C(C%10=CC=C(C)S%10)S9)S8)=CC(C1=O)=C72,-5.5,-4.1,-5.1696,-3.4604
c12,O=C(N1C)C2=CC=C(C(C3=N4)=NC5=C4C(C6=CC=CS6)=C(N=C7C(C8=CC=C(C9=O)C%10=C8C7=CC=C%10C(N9C)=O)=N%11)C%11=C5C%12=CC=CS%12)C%13=C3C=CC(C1=O)=C%132,-5.3,-3.7,-5.5428,-3.6207
