key,name,donor,smiles,HOMO_calc,LUMO_calc,PCE_exp,Source,HOMO_calib,LUMO_calib,PCE_calc,PCE_calib,molW,PCE_calib_plus,PCE_calib_plus_std
38,DBS-2DBP,P3HT,Cc1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5ccc6c(c5)[Si](C)(C)c5cc(-c7ccc(C8=C9C(=O)N(C)C(c%10cccs%10)=C9C(=O)N8C)s7)ccc5-6)s4)=C3C(=O)N2C)s1,-4.89978,-2.939868,2.05,DOI: 10.1039/c6tc05066b,-5.210126912,-3.385878122,0,0,877.183,1.809057345,1.324845502
39,FLU-RH,P3HT,CN1C(=O)C(=Cc2ccc(-c3ccc4c(c3)C(C)(C)c3cc(-c5ccc(C=C6SC(=S)N(C)C6=O)s5)ccc3-4)s2)SC1=S,-5.607526,-3.103194,3.08,DOI: 10.1039/c6tc05066b,-5.76772899,-3.786346981,4.18458443,5.796757917,672.969,1.657792413,1.286062542
40,IDT-2Br,P3HT,CN1C(=O)C(=Cc2ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccccc3)c3ccccc3)-c3sc(-c4ccc(C=C6SC(=S)N(C)C6=O)c6nsnc46)cc3C5(c3ccccc3)c3ccccc3)c3nsnc23)SC1=S,-5.335316,-3.511509,5.04,DOI: 10.1039/c6tc05066b,-5.354561774,-3.662799423,9.545758785,9.943517575,1153.546,3.147189124,1.446215134
41,N7,P3HT,Cc1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5ccc6c7ccc(-c8ccc(C9=C%10C(=O)N(C)C(c%11cccs%11)=C%10C(=O)N9C)s8)cc7n(C)c6c5)s4)=C3C(=O)N2C)s1,-4.89978,-2.830984,2.3,DOI: 10.1039/c6tc05066b,-5.172864921,-3.339792521,0,0,848.069,1.757081234,1.322277566
42,F8,P3HT,CN1C(=O)C2=C(c3ccc(-c4ccc(C#N)s4)s3)N(C)C(=O)C2=C1c1ccc(-c2ccc3c(c2)[Si](C)(C)c2cc(-c4ccc(C5=C6C(=O)N(C)C(c7ccc(-c8ccc(C#N)s8)s7)=C6C(=O)N5C)s4)ccc2-3)s1,-5.117548,-3.293741,2.37,DOI: 10.1039/c6tc05066b,-5.338756946,-3.554352604,0,9.711467501,1077.43,3.528883123,1.396343527
43,DC-IDT2,PBDTTT-C-T,N#CC(C#N)=C1C(=Cc2ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccccc3)c3ccccc3)-c3sc(-c4ccc(C=C6C(=O)c7ccccc7C6=C(C#N)C#N)s4)cc3C5(c3ccccc3)c3ccccc3)s2)C(=O)c2ccccc21,-5.525863,-3.593172,3.93,DOI: 10.1039/c6tc05066b,-5.547378289,-4.042428737,7.567691938,8.001276522,1143.412,2.669114927,1.320291868
44,SBF2,PBDTTT-C-T,Cc1cc(C=C2C(=O)c3ccccc3C2=C(C#N)C#N)sc1-c1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(-c3sc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)cc3C)ccc1-2,-5.525863,-3.593172,0.97,DOI: 10.1039/c6tc05066b,-5.528275137,-3.989438454,7.567691938,8.309352679,917.087,2.446943495,1.307300531
45,IDTBM,PBDTTT-C-T,N#CC(C#N)=Cc1ccc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccccc2)c2ccccc2)-c2sc(-c3ccc(C=C(C#N)C#N)c5nsnc35)cc2C4(c2ccccc2)c2ccccc2)c2nsnc12,-5.770852,-3.947045,4.19,DOI: 10.1039/c6tc05066b,-5.808822458,-3.923597102,6.047607265,5.68915833,991.224,2.340207152,1.281092943
46,IDTT-2BM,PBDTTT-C-T,N#CC(C#N)=Cc1ccc(-c2cc3sc4c(c3s2)C(c2ccccc2)(c2ccccc2)c2cc3c(cc2-4)C(c2ccccc2)(c2ccccc2)c2c-3sc3cc(-c4ccc(C=C(C#N)C#N)c5nsnc45)sc23)c2nsnc12,-5.634747,-3.865382,4.7,DOI: 10.1039/c6tc05066b,-5.639961604,-3.854526777,7.22912632,7.166939634,1103.402,2.43166534,1.30088443
47,TPE(PDI)4,PTB7-Th,O=C1CC(c2ccc(-c3ccccc3)s2)=C2C(=O)SC(c3ccc(-c4cccc(C(=C(c5cccc(-c6ccc(C7=C8C(=O)CC(c9ccc(-c%10ccccc%10)s9)=C8C(=O)S7)s6)c5)c5cccc(-c6ccc(C7=C8C(=O)CC(c9ccc(-c%10ccccc%10)s9)=C8C(=O)S7)s6)c5)c5cccc(-c6ccc(C7=C8C(=O)CC(c9ccc(-c%10ccccc%10)s9)=C8C(=O)S7)s6)c5)c4)s3)=C12,-5.580305,-2.912647,5.44,DOI: 10.1039/c6tc05066b,-5.743904248,-3.316610326,3.272769129,4.176531217,1894.486,3.663647415,1.6305995
48,P1,PBDTTT-C-T,CN1C(=O)c2ccccc2C1=C1C(=O)N(C)c2cc(-c3ccc(N(c4ccc(-c5ccc6c(c5)N(C)C(=O)C6=C5c6ccccc6C(=O)N5C)cc4)c4ccc(-c5ccc6c(c5)N(C)C(=O)C6=C5c6ccccc6C(=O)N5C)cc4)cc3)ccc21,-5.144769,-2.885426,0.81,DOI: 10.1039/c6tc05066b,-5.262580919,-3.211035101,0,0,1110.243,2.237089938,1.371482809
49,diPBI,PDBT-T1,Cn1c(=O)c2ccc3c4ccc5c(=O)n(C)c(=O)c6cc7c8sc(-c9cc%10c%11cc%12c(=O)n(C)c(=O)c%13ccc%14c%15ccc%16c(=O)n(C)c(=O)c%17cc(c%10s9)c(c%15c%16%17)c%11c%14c%13%12)cc8c8cc(c1=O)c2c3c8c7c4c56,-6.151946,-3.702056,5.53,DOI: 10.1039/c6tc05066b,-6.075480135,-3.786334067,2.905216098,3.52994067,995.022,2.526750074,1.291718459
